,storeid,state,type,type_dummy,associates_poh_pre,associates_poh_post,open_time_pre,population_post_dummy,competition_dummy,hours_open_post_dummy,associates_poh_post_dummy,open_time_post,close_time_pre,close_time_post,hours_open_pre,hours_open_post,population_within_5,competition_within_5,12_14_2014,12_21_2014,12_28_2014,1_4_2015,1_11_2015,1_18_2015,1_25_2015,2_1_2015,2_8_2015,2_15_2015,2_22_2015,3_1_2015,3_8_2015,3_15_2015,3_22_2015,3_29_2015,4_5_2015,4_12_2015,4_19_2015,4_26_2015,5_3_2015,5_10_2015,5_17_2015,5_24_2015,5_31_2015,6_7_2015,6_14_2015,6_21_2015,6_28_2015,7_5_2015,7_12_2015,7_19_2015,7_26_2015,8_2_2015,8_9_2015,8_16_2015,8_23_2015,8_30_2015,9_6_2015,9_13_2015,9_20_2015,9_27_2015,10_4_2015,10_11_2015,10_18_2015,10_25_2015,11_1_2015,11_8_2015,11_15_2015,11_22_2015,11_29_2015,12_6_2015,12_13_2015,12_20_2015,12_27_2015,1_3_2016,1_10_2016,1_17_2016,1_24_2016,1_31_2016,2_7_2016,2_14_2016,2_21_2016,2_28_2016,3_6_2016,3_13_2016,3_20_2016,3_27_2016,4_3_2016,4_10_2016,4_17_2016,4_24_2016,5_1_2016,5_8_2016,5_15_2016,5_22_2016,5_29_2016,6_5_2016,6_12_2016,6_19_2016,6_26_2016,7_3_2016,7_10_2016,7_17_2016,7_24_2016,7_31_2016,8_7_2016,8_14_2016,8_21_2016,8_28_2016,9_4_2016,9_11_2016,9_18_2016,9_25_2016,10_2_2016,10_9_2016,10_16_2016,10_23_2016,10_30_2016,11_6_2016,11_13_2016,11_20_2016,11_27_2016,12_4_2016,12_11_2016,12_18_2016,12_25_2016,1_1_2017,1_8_2017,1_15_2017,1_22_2017,1_29_2017,2_5_2017,2_12_2017,2_19_2017,2_26_2017,3_5_2017,3_12_2017,3_19_2017,3_26_2017,4_2_2017,avg_pre,avg_post,24_12,24_13,24_14,26_12,26_13,26_14,28_12,28_13,28_14
79,80,MI,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,203,90,11592,13656,15122,17033,14709,21253,18490,13005,18724,13300,16574,19024,18877,15009,13569,15262,16642,17872,15350,14713,14659,14818,18043,17528,16387,17468,15604,15797,15622,17665,14796,16435,17365,15734,19125,17567,17230,18320,16314,17899,19141,17071,16190,18947,19217,21811,19503,18493,19284,21473,24585,23425,14890,19234,17532,14919,15586,20878,14572,18615,18253,20190,21455,18183,16813,19120,19667,17133,15236,17000,17241,20017,15799,16626,21375,17810,14912,22694,15294,15408,17825,13886,14842,17554,15358,18904,21703,17233,21585,15316,20914,22161,21756,20091,19084,21017,20620,18772,29030,18084,17204,26730,26193,24724,18590,15148,17888,21221,20301,26378,15588,22052,19955,16148,21898,20758,16566,15194,16485,15274,20748,17298.64615,19037.67857,20324.885610262187,20698.590396862186,21072.295183462185,20485.901686586185,20859.606473186184,21233.311259786184,20646.917762910183,21020.622549510183,21394.327336110182
80,81,MI,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,189,8,7278,5251,5533,5690,6038,7758,7313,7280,7233,7423,6344,7590,7087,7994,7704,6173,7977,8088,7008,7205,8012,6040,6224,6690,7003,7637,6207,6247,6457,7682,6782,6409,7529,8397,8937,6005,6335,6570,8011,8347,6619,7247,8010,8055,8323,8061,10561,7379,9428,12065,13365,10732,7586,7529,6940,6923,8254,10776,7740,6576,7270,8048,7383,8244,7350,8077,7918,9074,8811,9801,8326,8340,7549,7533,8891,7046,7680,8301,6112,8418,7939,8228,6437,6543,7405,9374,9243,7340,7713,8013,9404,7522,8252,7820,6804,7225,9911,7608,12105,9891,10510,14174,11222,8370,7033,8032,8393,9972,8886,9707,7761,7849,6781,6913,8806,8795,6765,6867,6792,9085,7164,7568.492308,8330.910714,8630.166371449888,9003.871158049888,9377.575944649887,8791.182447773886,9164.887234373888,9538.592020973889,8952.198524097887,9325.903310697888,9699.608097297887
81,82,MA,Standalone,1,24,24,7,50,26,14,24,7,21,21,14,14,50,26,7875,7030,8531,8770,6950,9513,9132,8640,8433,6402,7758,8457,8074,8325,8431,7627,9095,8152,9295,7371,7688,7797,6868,8259,6734,10500,8228,8271,8325,6892,8619,7317,8674,9936,9302,8920,9826,7586,10018,8245,7874,9458,9402,9136,8136,11264,11825,8820,10318,12174,13194,8935,8003,9311,8298,10004,9778,10850,8585,9379,8415,7927,7951,9644,10136,10439,9465,9532,9114,11486,9362,9903,7211,8058,10697,8193,7562,11476,8712,7383,7932,7199,7477,10325,7812,8151,7838,9337,9611,7456,11015,10171,8028,9229,10116,8175,8206,9714,10685,9049,10704,12954,15103,10671,8953,9203,7762,9650,9702,10112,10492,8084,8690,11298,9133,10809,9878,9933,10883,8769,9164,8779.738462000001,9429.75,9861.762122333499,10235.466908933502,10609.171695533501,10022.778198657501,10396.4829852575,10770.187771857503,10183.7942749815,10557.499061581502,10931.203848181502
82,83,VA,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,23,1,9077,10878,11096,9901,8904,13311,11643,10158,10193,12131,11461,12681,11207,9361,8735,10898,12054,11674,9309,10752,9699,11956,10350,8534,11703,13347,10580,9875,8867,9901,12716,11103,13023,12956,11630,12185,10662,11322,11669,9920,14039,13668,10020,11793,11885,12201,15647,11347,12824,16945,17554,16694,11236,10329,9669,12601,13504,11498,11116,11671,10029,12619,12306,15150,10791,9724,13742,11229,9806,10643,10101,12018,10747,9354,11099,9674,12142,12388,13717,12023,10975,11816,10238,13894,13481,12700,13100,11180,10244,12138,11138,12421,11762,14175,15453,13599,10929,12110,15478,13881,13559,15835,22998,16486,12857,11680,9846,13194,11252,13518,11251,13505,15369,11122,11126,13199,12191,12177,14760,15073,15288,11608.58462,12596.51786,13369.406994617895,13743.111781217895,14116.816567817894,13530.423070941893,13904.127857541896,14277.832644141896,13691.439147265895,14065.143933865895,14438.848720465894
83,84,IN,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,157,40,12485,14025,16076,15599,18554,19852,19320,16562,18846,17013,19556,16940,19758,15911,17936,14742,16980,19945,16904,16788,18989,14139,15956,19077,19392,15361,20027,16575,15370,20205,18753,20212,18459,16926,17797,18752,18577,16357,16152,21605,14917,21111,21185,18665,22942,19057,22609,21700,21925,25996,26589,24377,20289,20649,16092,22630,19161,18090,21185,16306,19287,22135,16851,22526,19401,17291,20586,21114,19890,18670,19023,21470,16256,16348,19950,14338,20935,22473,19460,18402,17890,17095,19584,17338,20191,21486,18282,16384,18457,17399,18604,22673,20407,19611,19942,17067,25343,18546,27907,22481,24337,35079,34112,27551,16620,20092,17637,23352,21871,21624,20665,24408,17487,23719,21633,24764,19831,16892,17464,18042,17042,18740.73846,20484.19643,22028.102304375076,22401.807090975075,22775.511877575074,22189.118380699074,22562.823167299073,22936.527953899073,22350.134457023072,22723.83924362307,23097.54403022307
84,85,CT,Standalone,1,24,24,7,5,6,14,24,7,21,21,14,14,5,6,6740,5224,6498,7125,5767,6704,4992,5527,5165,6553,7733,7195,6548,6184,5624,6694,6111,8210,5268,7444,6775,6347,7169,7062,6941,6816,5295,6430,5067,6894,5717,5940,5270,8122,6547,6401,7131,7319,7642,6080,6657,6199,7229,7265,6535,8067,8249,7257,6970,8183,11530,9829,5612,7235,5836,6771,7023,9862,5714,6965,7455,8181,7634,6261,7139,6188,7335,6286,6760,8086,6664,7459,6360,7757,7070,6627,6007,7192,5655,6980,6195,7549,8319,8494,5751,6019,7076,7882,7455,6960,6832,6087,6151,9035,6754,7515,7855,9606,11144,6768,10054,12083,9436,10771,7088,7286,6274,8693,6034,7462,8898,7282,8584,8134,6538,9653,8420,8888,7485,7948,8599,6829.676923,7633.625,7873.500382249151,8247.20516884915,8620.909955449151,8034.516458573151,8408.221245173152,8781.926031773151,8195.532534897151,8569.23732149715,8942.94210809715
85,86,MA,Standalone,1,24,24,7,441,10,14,24,7,21,21,14,14,441,10,19124,14407,14790,18348,17587,24172,17848,19142,14704,14825,17966,22523,18607,16610,21079,20272,15564,21854,14882,14915,17605,18612,18442,14279,14066,21391,19117,15106,17784,14892,21644,16698,16642,16306,20977,17255,19317,21480,19741,20886,19078,20182,16150,22074,23835,17506,24726,19484,17636,31860,29076,24187,15511,21342,16337,23131,16969,26194,16872,17672,16827,18749,17190,22693,20524,23218,21677,19493,19976,23771,16738,19521,20581,20113,21553,18436,15392,18266,21414,15551,21306,21670,20306,22332,20757,19215,22562,22093,19605,23467,21150,24362,24995,24819,16927,24572,25859,27074,24481,18872,23860,31368,33483,22295,17775,21883,22066,18947,19369,25446,21397,21593,22087,24804,23193,27092,20357,21000,22153,21557,19103,19034.83077,21838.42857,23608.242059278084,23981.946845878083,24355.651632478082,23769.258135602082,24142.96292220208,24516.66770880208,23930.27421192608,24303.97899852608,24677.68378512608
86,87,NY,Standalone,1,24,24,7,8,38,13,24,7,21,20,14,13,8,38,14824,10684,11440,16202,12670,18809,15737,13137,13096,11167,11638,17210,16584,15226,12040,13657,14511,13353,12163,11849,10980,12694,13777,11519,14605,13525,14093,12576,12095,12499,15285,16543,13255,15449,14974,14017,14384,12094,16183,14676,13675,15675,16841,12580,17007,19374,24038,16127,16352,18891,22017,16732,16343,12302,13578,14547,15196,17553,15188,17660,17656,13018,18559,17558,14402,14293,12279,13721,17135,14557,13558,15757,17496,13051,15918,14475,11524,18232,14588,13653,13170,13953,15461,12832,17331,14370,18308,16699,15481,14343,13514,13742,13665,18816,14550,18744,14773,16386,23677,18319,17628,20655,29007,19427,15559,18165,16092,15594,16054,15963,13678,15223,16355,17569,15248,18570,19252,16724,18831,13933,18759,14832.13846,16190.303569999998,17349.784109561726,17723.488896161733,18097.193682761732,17510.80018588573,17884.50497248573,18258.20975908573,17671.81626220973,18045.52104880973,18419.22583540973
87,88,MN,Standalone,1,24,24,7,469,11,14,24,7,21,21,14,14,469,11,7588,8577,7741,10118,8237,12562,9823,9990,10541,10105,8522,8015,10104,7901,9292,10282,8175,10811,10360,10387,8109,7927,11160,9226,8042,9722,8905,7915,9359,10010,9906,8395,8532,10339,9893,9498,8890,11080,9713,11108,8949,9849,11146,9656,10362,9505,15463,9925,9260,12732,14555,11705,8470,10257,7445,9914,10909,11631,11628,9865,11461,10907,10505,8892,10676,10911,11312,10758,8830,9049,8679,11055,11136,9752,10851,9322,10856,10846,10325,7860,11074,8582,10977,10195,10173,12428,8548,12064,10265,9751,8593,10388,8682,8827,10620,11489,11675,12396,13338,10977,10216,17249,13717,15657,10689,10320,10324,12135,11623,13406,8672,9643,10930,9673,12901,10055,10935,10120,9243,10530,11205,9885.030768999999,10746.91071,11321.826282237487,11695.53106883749,12069.23585543749,11482.84235856149,11856.547145161489,12230.251931761492,11643.858434885487,12017.56322148549,12391.26800808549
88,89,MO,Strip Mall,0,24,24,7,0,0,0,0,7,21,20,14,13,51,5,12412,14038,10236,12259,13185,13640,12629,13677,13707,14447,12065,13541,10395,15139,13567,11378,14366,11772,14173,14680,10991,12694,11873,11875,11545,11147,12647,10148,12454,12124,13807,14246,10783,13144,12196,10658,13538,15398,12592,13179,14379,16523,14306,15343,11866,15828,21848,15966,16359,19740,19043,15098,11140,10600,12367,15938,12060,14364,11154,14406,14936,14614,14095,13098,13670,16087,16335,14647,13643,17278,12862,11248,15784,14588,13638,13577,11860,17936,11760,14481,11554,15420,15080,13232,11718,17046,14828,14516,13529,14858,14119,13903,16972,15461,15801,17583,13917,16723,16553,14715,17495,24319,18151,19192,13394,15299,14315,15184,12166,15748,17099,17199,16128,17352,17606,13676,17954,16561,18022,12754,17455,13493.630769999998,15362.875,16425.699269019453,16799.404055619452,17173.10884221945,16586.71534534345,16960.42013194345,17334.12491854345,16747.73142166745,17121.43620826745,17495.140994867448
89,90,OH,Standalone,1,24,24,7,116,9,14,24,7,21,21,14,14,116,9,11735,12642,11481,11275,13943,19245,10889,12713,11296,11615,14583,13147,12225,12702,14642,13007,15931,17803,12757,11846,15771,13653,16059,13717,10588,13255,10688,12282,11938,15212,14196,13846,12616,15245,14351,12544,12437,16107,16655,16970,13548,17536,12752,12162,13597,17525,17372,17682,18508,17782,25951,19691,13187,14223,14995,13889,14247,18302,15024,16597,13715,12876,13453,15064,12156,13865,14631,17638,16185,16477,12442,15490,16143,14616,18482,15477,14537,13878,12463,16674,14827,17355,16332,18279,15212,18350,14243,17806,14634,12853,15771,19125,18484,16295,16770,14676,18193,15851,23195,19041,16551,26555,24951,16706,12876,15515,17005,19481,13719,23266,15356,17768,18520,15920,18663,20368,15606,16582,16129,17143,15412,14391.4,16792.53571,18018.84943291464,18392.55421951464,18766.25900611464,18179.86550923864,18553.57029583864,18927.27508243864,18340.881585562638,18714.586372162637,19088.291158762637
90,91,NY,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,137,27,12863,16742,16358,18891,17376,23334,16417,13836,14823,14102,17895,20235,18089,14806,19688,18888,18802,18062,15045,15959,13886,16068,17594,17199,16214,19234,16000,17588,16376,14836,15832,20091,17866,19851,20181,16551,17533,14392,17886,19330,20324,20922,19151,21780,16686,22044,24934,20075,20920,30828,30044,21858,16781,14732,13607,19344,16154,26724,14771,19807,21374,17546,15963,22369,17984,18735,19004,19597,18563,21999,16684,19108,19171,19715,18253,19939,15479,17308,15873,19560,16371,16984,16227,17631,15531,22219,17946,20035,21575,23190,23987,19651,18295,17980,23246,21012,23960,19586,28950,18517,19487,26086,32948,20774,18650,16274,18740,20769,22364,22348,22839,19393,23107,16718,21706,17514,22959,17779,17735,23495,16714,18360.63077,20005.0,21523.511599323007,21897.216385923006,22270.921172523005,21684.527675647005,22058.232462247004,22431.937248847004,21845.543751971003,22219.248538571002,22592.953325171
91,92,KY,Standalone,1,24,24,7,472,29,14,24,7,21,21,14,14,472,29,8116,8741,8619,10305,10609,10380,8679,11073,9420,10889,9675,10351,8508,11632,10032,11765,10906,12837,11748,9462,10824,8868,12569,8482,8524,12822,8825,11701,11029,9447,11015,10043,12368,13022,10681,12504,8913,12049,9363,10183,9944,12321,13516,11853,9652,11156,15534,11663,11533,16230,20576,12982,11202,10917,8467,10431,9088,14643,13472,9542,10372,11122,13384,10814,13671,13757,10257,11033,13302,10900,12438,12576,12256,12298,10272,9463,11506,11529,11821,10238,13092,12605,12821,12483,13447,10294,12560,10564,14084,13544,14063,13167,12238,14885,12636,12666,12514,15620,17905,12565,11619,17988,20118,17925,11117,13639,12376,14240,12637,13380,10651,12731,10598,14435,14663,11259,12679,13383,14682,11912,10976,11093.292309999999,12864.41071,13666.218075051887,14039.92286165189,14413.62764825189,13827.23415137589,14200.938937975889,14574.643724575892,13988.250227699888,14361.95501429989,14735.65980089989
92,93,PA,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,273,61,6885,7736,8358,8697,9303,9500,9858,9465,6850,8240,8030,7882,8478,8327,9637,9046,8211,11137,6662,10087,9470,6939,7797,8917,7291,9048,9781,9979,6904,8316,8333,9149,7849,9091,10834,9404,10011,9814,7384,10947,9152,9609,7486,10964,10162,8927,10746,10693,9376,12823,16655,12530,8229,8880,6905,11048,8590,11033,10725,7794,7843,10317,10681,9711,9394,10845,10009,8434,7532,10848,10765,8324,10485,7279,8672,10306,9782,8635,8600,10922,10519,8703,11106,11064,7833,8063,11519,8129,8020,8026,8171,11095,9230,10338,10016,10226,11537,9227,13689,8479,13248,15618,15880,11408,8411,7852,8008,9219,8296,13227,11578,11067,11388,8803,9853,9604,10484,9263,12023,11675,10555,9229.538462,10069.42857,10449.040013275282,10822.744799875281,11196.44958647528,10610.05608959928,10983.76087619928,11357.465662799279,10771.072165923279,11144.776952523282,11518.481739123281
93,94,OH,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,405,59,5636,6676,7366,7173,8217,9311,6141,8397,6792,8753,7853,9497,7179,6265,6088,6968,7147,10000,8515,6824,7839,6381,7411,6615,7167,7425,6606,6085,7258,6333,7626,7012,6380,7095,7782,7567,7353,8160,8976,8533,6753,8769,7000,9685,9042,10467,10456,9222,7541,11888,11303,10996,7849,9216,7243,7649,7416,9236,9193,7482,8906,7984,10041,10434,9362,7655,9288,9628,7468,7915,7769,6759,9499,9480,8023,8763,6787,8751,7340,8801,9697,7634,7807,9598,9072,9290,9490,9596,9058,9977,9325,7492,8630,9435,9537,10050,9275,10664,11120,9281,8684,13231,16033,11957,9211,7285,9047,7923,7109,9565,9130,10727,7350,8386,9698,7785,10349,8574,10471,7486,7480,8023.615384999999,9061.339286,9336.389541831815,9710.094328431815,10083.799115031818,9497.405618155817,9871.110404755816,10244.815191355816,9658.421694479815,10032.126481079815,10405.831267679814
94,95,TX,Standalone,1,24,24,7,450,28,14,24,7,21,21,14,14,450,28,15002,15442,17942,17391,20148,23426,20428,22037,16773,19472,19528,22378,15358,16038,22324,20026,19879,20646,17441,20201,15817,15914,17888,15607,19801,22355,20503,14945,20154,18184,15425,18848,21392,18431,19844,18829,17943,18070,17475,18803,24024,23544,23182,19412,17879,19315,30229,19045,18474,29281,29456,20925,18582,18151,21479,22905,22389,27079,20782,24304,19939,19962,17028,22155,18431,17644,16978,21705,21879,22155,17027,24064,18891,22271,20040,21525,22374,20544,21667,20550,16828,21870,17535,23030,21623,21838,24556,19890,20085,18527,24928,23625,18233,23976,18716,24565,25438,20326,30429,18329,29374,26734,34947,25747,18162,21097,19961,21874,25448,25369,22009,25108,17942,24790,24246,22290,25248,25048,22532,25045,24487,19939.384619999997,22341.41071,24164.192544499987,24537.897331099994,24911.602117699993,24325.208620823993,24698.913407423992,25072.61819402399,24486.22469714799,24859.92948374799,25233.63427034799
95,96,DE,Standalone,1,24,24,7,123,16,14,24,7,21,21,14,14,123,16,12943,16295,13295,18686,15906,21226,15586,14763,12624,18144,14050,13138,16361,16308,15012,16530,15765,16052,15005,15979,17109,14028,17418,13976,11767,19887,14733,13817,12664,17990,15543,17146,16068,18400,17013,18332,16749,16039,13528,14136,14493,17955,13461,20182,14073,16969,21059,17386,21734,21447,24908,20258,18283,16481,16431,17191,15437,16910,18925,17766,19037,19053,19000,15398,15582,20086,16099,20346,15282,18615,15273,16236,19451,15340,15042,16624,13829,21107,14349,15713,18690,19657,20504,14070,17822,17197,17736,16263,19409,20075,19797,19774,15498,20946,14965,21089,16321,16761,27911,21219,18886,26516,26983,22054,16853,15063,15770,20327,16308,25433,15068,20078,20680,18331,21405,16449,15234,22001,17193,20285,19046,16606.615380000003,18554.625,19970.286659533354,20343.991446133354,20717.696232733353,20131.302735857353,20505.007522457352,20878.71230905735,20292.31881218135,20666.02359878135,21039.72838538135
96,97,CO,Standalone,1,24,24,7,8,4,14,24,7,21,21,14,14,8,4,14534,13199,12428,13290,14841,16799,18085,13514,15784,15258,19522,15299,14528,12710,18632,16550,18419,17987,12953,17555,13915,16906,14816,13250,16364,20541,14822,17428,16996,13644,16607,19334,15760,19393,19222,15621,14791,15949,16159,16612,18761,18083,16268,17593,14498,19472,18558,15202,15863,24081,24401,22562,16446,15747,13177,17009,17164,19585,15118,19021,14416,18251,15219,18554,14285,18322,17924,20898,17406,21852,16613,19128,19918,15143,21351,16805,16788,22159,20450,14092,16063,15141,18695,15790,19901,18096,22480,15299,16374,17030,20539,19566,17495,20792,21846,22673,19856,22428,20964,22646,23035,25912,24139,23108,18398,18306,19506,18381,19097,26746,17076,22127,17244,17586,15978,23783,20195,21261,22579,18781,16275,16605.4,19500.64286,21019.024176052044,21392.728962652043,21766.43374925205,21180.04025237605,21553.74503897605,21927.449825576048,21341.056328700048,21714.761115300047,22088.465901900046
97,98,VA,Standalone,1,24,26,7,257,42,13,26,7,21,20,14,13,257,42,9292,8236,7749,8259,9107,10228,7866,8443,7608,7611,9817,8699,8940,9517,9539,9069,10437,11738,9181,11312,10672,11133,10707,10421,8996,11367,9589,9079,7733,11246,8599,10473,10262,9820,8814,10441,9071,11067,9509,11748,11778,10640,11050,11154,9457,9609,13629,9284,12965,14659,18346,10777,8544,11493,10232,11221,11618,10648,8828,9442,9377,8432,12898,13183,9840,11814,8408,11591,9277,10949,10346,10176,9707,10309,12911,10436,8203,9149,10530,11703,10835,10239,8979,10149,10314,10909,10812,12165,10421,11192,10180,12647,9140,11706,9453,12368,13124,14023,14515,9400,11095,15588,16863,15688,10645,9937,11535,9514,11215,11164,11507,12865,10752,11504,11971,12274,13209,12590,12112,12004,9386,10192.292309999999,11276.75,11906.649412722703,12280.354199322703,12654.058985922702,12067.665489046702,12441.370275646701,12815.0750622467,12228.6815653707,12602.386351970703,12976.091138570702
98,99,CT,Standalone,1,24,24,7,64,27,14,24,7,21,21,14,14,64,27,9598,9437,8521,11367,10621,13404,9533,11627,9976,8094,8967,9326,10091,10796,10759,10718,11543,10439,10236,8225,8943,10662,10328,7889,8943,9312,9712,10997,8779,10138,11975,9089,11455,12225,9301,9552,10419,9484,9710,8748,9035,11835,10302,8738,9965,13011,12594,11297,11272,18057,18772,12319,8851,10570,10951,12141,8695,10753,12794,11574,12535,10369,10852,13462,9403,10562,11202,10677,13024,11424,11845,10740,11231,11423,12597,8427,8591,11347,9477,12676,12361,12488,10244,9707,12242,10520,14013,9513,10364,11175,10173,10204,12769,11878,11896,12905,12443,12038,16876,12458,13961,19863,18945,14075,11085,11490,9147,11947,13050,12208,13398,10046,12935,13034,14433,13879,13304,12356,11031,11428,12210,10632.09231,12059.55357,12774.792971523531,13148.49775812353,13522.202544723534,12935.809047847533,13309.513834447533,13683.218621047532,13096.825124171532,13470.529910771531,13844.23469737153
99,100,LA,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,21,7,7307,7691,6823,7017,8377,10996,8402,9058,9653,9302,8998,7595,9893,7096,9810,8430,7526,9639,8529,7376,6831,7357,7855,7615,8228,9439,9263,7500,9231,9467,7122,7109,7188,7328,7651,7673,8274,9501,10374,8175,9639,8566,10074,9518,8456,11959,12875,8047,8939,13979,15269,10155,8607,9245,9546,8664,7226,11868,10869,10902,9531,8379,8204,9965,8504,8118,9638,9405,8069,8730,7373,7528,9850,7386,8239,7923,9459,12058,10065,8217,8405,10781,8848,9736,10192,11229,9194,11206,7972,9668,8058,11289,10376,10533,10249,8754,9870,10835,11815,10073,10007,13204,17624,13659,10373,9085,8936,12124,9133,10787,11508,11430,8713,11219,10662,12929,11781,9505,9525,8909,9537,8949.0,10031.98214,10516.502664444308,10890.20745104431,11263.91223764431,10677.51874076831,11051.223527368309,11424.928313968308,10838.534817092308,11212.239603692307,11585.944390292307
100,101,KS,Standalone,1,24,28,7,55,26,12,28,7,21,19,14,12,55,26,14731,16978,12463,19068,15455,22093,16633,13707,14485,13867,16045,17364,14303,19516,15929,16115,15220,17639,12949,16030,16602,17642,16115,15729,17213,19195,15951,18516,13786,16793,14275,16576,16301,20420,15447,16693,20548,15576,18898,20085,18845,15889,17102,14567,19977,21800,21982,21301,21339,23430,30152,21972,16253,19202,19004,21513,18746,19204,17465,20766,17013,17517,19727,16867,17914,18709,20674,15186,14837,20834,16415,20498,17803,13690,19998,17270,16086,17060,18501,17044,14869,16839,17577,17906,18072,21865,20644,15647,14530,20517,20303,21071,15263,19859,18251,21206,19051,19195,25359,18578,22112,27854,29000,25039,17772,17741,17313,21122,19064,24594,21081,21744,18615,18718,15869,21375,21568,17647,22415,20502,18119,17730.73846,19294.125,20788.773932275755,21162.478718875755,21536.183505475754,20949.790008599753,21323.494795199753,21697.199581799752,21110.80608492375,21484.51087152375,21858.21565812375
101,102,NH,Standalone,1,24,24,7,61,2,12,24,7,21,19,14,12,61,2,11183,12808,8844,10035,9942,11390,9795,9595,12588,12363,12305,14731,12629,11855,12163,10426,12719,14797,11406,12839,11159,12032,11250,10732,10305,11381,9759,10839,12758,10676,10336,12536,10699,12467,11769,10528,12943,10575,12589,14816,13852,13561,12198,10866,14190,12899,16901,13410,14745,21679,21214,13864,13488,13531,12195,13134,12757,16227,10553,11553,11301,10795,10863,14996,11673,14439,13823,11467,11415,14426,12781,11780,10036,14250,10518,11393,13008,14189,10832,14283,14292,13504,13166,10519,15002,10869,12127,13587,10260,15209,14509,12686,15420,15435,12686,15668,14362,16225,18317,12520,17827,22275,20809,17020,13605,10154,10511,11391,13798,18807,12450,10798,13887,13216,15657,12252,15676,14109,15892,13112,12954,12415.49231,13771.48214,14672.826380447308,15046.531167047307,15420.23595364731,14833.84245677131,15207.54724337131,15581.252029971309,14994.858533095308,15368.563319695311,15742.26810629531
102,103,OH,Standalone,1,24,24,7,133,21,13,24,7,21,20,14,13,133,21,9914,7310,9961,10290,10445,13267,10155,10669,10950,7444,7819,11841,7598,9589,9214,7565,10832,11692,10842,9247,9008,7594,11353,8877,8364,10464,10792,9098,8844,9421,11247,9446,9319,9795,9205,8836,10508,8006,11991,10348,10648,9119,10973,10204,10992,11373,11794,10609,11171,16818,14083,14293,11011,7875,8358,8812,10993,10719,8480,9719,11131,10040,8716,10256,9228,9700,10812,11784,9130,10851,10275,11539,9755,7870,10335,11098,10323,9503,8798,11327,9329,8974,10102,10154,9727,9749,10534,12137,11859,9291,9547,8897,11245,12277,12436,12275,12603,10377,14067,11785,14276,12973,19488,10950,10857,11694,8177,12028,12064,14961,9851,12938,9192,12068,12281,10965,8958,11668,8843,8992,12090,10101.15385,10996.05357,11597.13284055353,11970.837627153529,12344.542413753528,11758.148916877528,12131.85370347753,12505.55849007753,11919.16499320153,12292.86977980153,12666.574566401529
103,104,IL,Standalone,1,24,24,7,193,8,12,24,7,21,19,14,12,193,8,11645,16543,15381,17766,12175,19762,14769,12659,17770,15811,18085,15006,18673,12717,17709,12862,12855,16641,13321,19092,17145,17008,19931,15948,16687,16085,18241,15653,15636,13580,17525,16539,17497,18803,15981,15624,14832,16807,15194,18013,15473,17558,20475,15885,17671,20454,24464,15451,20644,22761,21885,19806,15151,15525,13462,17459,16915,19216,17799,15022,20546,14571,18121,17572,15809,17333,18323,18798,17495,18261,17679,13821,16321,13081,16903,15115,17942,15107,16370,13139,19227,14786,14604,18949,17830,18004,14747,18548,14152,15310,18111,18930,15516,16578,19933,16514,19434,18171,24716,15960,20069,24432,25398,19295,14300,14894,17150,20900,15964,17461,20965,20381,19777,20583,21468,16140,21254,14996,16565,20917,18650,16825.63077,17808.33929,19144.147660068513,19517.85244666852,19891.55723326852,19305.16373639252,19678.868522992518,20052.573309592517,19466.179812716517,19839.884599316516,20213.589385916515
104,105,TX,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,243,12,5807,5699,5553,7533,6229,10451,7326,7789,7843,6815,8535,7226,6486,7486,6513,7986,6580,9749,5902,8895,8265,5892,6856,5626,8392,8713,5867,8573,8592,8288,7671,8469,7439,7652,7283,6363,8297,7356,6660,8787,7923,7291,9085,8587,7567,10132,8821,6735,9784,10098,10993,11578,7026,8738,6706,8995,8773,8473,8059,8198,7225,6810,8548,7453,9390,9528,7302,7858,9752,9241,8302,7904,8188,6576,9981,8356,6857,9914,8553,7659,9443,6581,9340,8389,9233,9168,8237,9613,9783,7967,9102,10215,10258,9349,7178,9945,8210,11742,12451,8915,11232,11690,12435,11307,6806,9511,7548,8618,8839,10281,7856,10451,8872,8725,10655,10907,10508,7319,10571,8531,7853,7852.8,9135.803570999999,9513.696216896655,9887.401003496654,10261.105790096653,9674.712293220653,10048.417079820652,10422.121866420655,9835.728369544651,10209.433156144654,10583.137942744654
