storeid,state,type,associates_poh_pre,open_time_pre,open_time_post,close_time_pre,close_time_post,hours_open_pre,associates_poh_post,hours_open_post,Predicted avg_post,avg_pre,avg_post,population_within_5,competition_within_5,12_14_2014,12_21_2014,12_28_2014,1_4_2015,1_11_2015,1_18_2015,1_25_2015,2_1_2015,2_8_2015,2_15_2015,2_22_2015,3_1_2015,3_8_2015,3_15_2015,3_22_2015,3_29_2015,4_5_2015,4_12_2015,4_19_2015,4_26_2015,5_3_2015,5_10_2015,5_17_2015,5_24_2015,5_31_2015,6_7_2015,6_14_2015,6_21_2015,6_28_2015,7_5_2015,7_12_2015,7_19_2015,7_26_2015,8_2_2015,8_9_2015,8_16_2015,8_23_2015,8_30_2015,9_6_2015,9_13_2015,9_20_2015,9_27_2015,10_4_2015,10_11_2015,10_18_2015,10_25_2015,11_1_2015,11_8_2015,11_15_2015,11_22_2015,11_29_2015,12_6_2015,12_13_2015,12_20_2015,12_27_2015,1_3_2016,1_10_2016,1_17_2016,1_24_2016,1_31_2016,2_7_2016,2_14_2016,2_21_2016,2_28_2016,3_6_2016,3_13_2016,3_20_2016,3_27_2016,4_3_2016,4_10_2016,4_17_2016,4_24_2016,5_1_2016,5_8_2016,5_15_2016,5_22_2016,5_29_2016,6_5_2016,6_12_2016,6_19_2016,6_26_2016,7_3_2016,7_10_2016,7_17_2016,7_24_2016,7_31_2016,8_7_2016,8_14_2016,8_21_2016,8_28_2016,9_4_2016,9_11_2016,9_18_2016,9_25_2016,10_2_2016,10_9_2016,10_16_2016,10_23_2016,10_30_2016,11_6_2016,11_13_2016,11_20_2016,11_27_2016,12_4_2016,12_11_2016,12_18_2016,12_25_2016,1_1_2017,1_8_2017,1_15_2017,1_22_2017,1_29_2017,2_5_2017,2_12_2017,2_19_2017,2_26_2017,3_5_2017,3_12_2017,3_19_2017,3_26_2017,4_2_2017,change,Desirability
88,MN,Standalone,24,7,7,21,21,14,24,14,200337.64287,149680.6154,191785.7143,469,11,103740,123520,106800,154340,116720,203220,148440,151780,162800,154080,122420,112280,154060,110000,137820,157620,115480,168200,159180,159720,114160,110520,175180,136500,112820,146420,130080,110280,139160,152180,150100,119880,122620,158760,149840,141940,129780,173580,146240,174140,130960,148960,174900,145100,159220,142080,261240,150480,137180,206620,243080,186080,121380,157120,100880,150260,170160,184600,184540,149280,181200,170120,162080,129820,165500,170200,178220,167140,128580,132960,125560,173080,174700,147020,169000,138420,169100,168900,158480,109180,173460,123620,171520,155880,155440,200540,122940,193260,157280,147000,123840,159740,173640,176540,212400,229780,233500,247920,266760,219540,204320,344980,274340,313140,213780,206400,206480,242700,232460,268120,173440,192860,218600,193460,258020,201100,218700,202400,184860,210600,224100,-44060,0.301610309
89,MO,Strip Mall,24,7,7,21,20,14,24,13,273891.97052,224596.6154,285758.75,51,5,200220,232740,156700,197160,215680,224780,204560,225520,226120,240920,193280,222800,159880,258190,226750,182970,242730,190850,238870,249010,175230,209290,192870,192910,186310,178350,208350,158370,204490,197890,231550,240330,171070,218290,199330,168570,226170,263370,207250,218990,242990,285870,241530,262270,192730,271970,392370,274730,282590,350210,336270,257370,178210,167410,202750,274170,196610,242690,178490,243530,254130,247690,237310,217370,228810,277150,282110,248350,228270,300970,212650,180370,271090,247170,228170,226950,192610,314130,190610,245030,186490,263810,257010,220050,189770,296330,251970,245730,225990,252570,237790,233470,339440,309220,316020,351660,278340,334460,331060,294300,349900,486380,363020,383840,267880,305980,286300,303680,243320,314960,341980,343980,322560,347040,352120,273520,359080,331220,360440,255080,349100,98310,0.636522286
90,OH,Standalone,24,7,7,21,21,14,24,14,301051.3787,239808,312698.2143,116,9,186680,204820,181600,177480,230840,336880,169760,206240,177900,184280,243640,214920,196480,206020,244820,212120,270600,308040,207120,188900,267400,225040,273160,226320,163740,217080,165740,197620,190740,256220,235900,228900,204300,256880,239000,202860,200720,274120,285080,291380,222940,302700,207020,195220,223920,302480,299420,305620,322140,307620,471000,345800,215720,236440,251880,229760,236920,318020,252460,283920,226280,209500,221040,253260,195100,229280,244600,304740,275680,281520,200820,261780,274840,244300,321620,261520,242720,229540,201240,285460,248520,299080,278620,317560,256220,318980,236840,308100,244660,209040,267400,334480,369680,325900,335400,293520,363860,317020,463900,380820,331020,531100,499020,334120,257520,310300,340100,389620,274380,465320,307120,355360,370400,318400,373260,407360,312120,331640,322580,342860,308240,9540,0.513791574
91,NY,Strip Mall,24,7,7,21,21,14,24,14,385485.23073,319192.6154,376947.5,137,27,209240,286820,279140,329800,299500,418660,280320,228700,248440,234020,309880,356680,313760,248100,345740,329740,328020,313220,252880,271160,229700,273340,303860,295960,276260,336660,271980,303740,279500,248700,268620,353800,309300,349000,355600,283000,302640,239820,309700,338580,358460,370420,335000,387580,285700,392860,450660,353480,370380,568540,552860,389140,287600,246620,224120,338860,275060,486460,247400,348120,379460,302900,271240,399360,311660,326680,332060,343920,323240,391960,285660,334140,335400,346280,317040,350760,261560,298140,269440,343180,279400,291660,276520,304600,262600,396360,310900,352680,383480,415780,431720,345000,365900,359600,464920,420240,479200,391720,579000,370340,389740,521720,658960,415480,373000,325480,374800,415380,447280,446960,456780,387860,462140,334360,434120,350280,459180,355580,354700,469900,334280,-65660,0.612400599
92,KY,Standalone,24,7,7,21,21,14,24,14,227168.25996,173845.8462,234135.7143,472,29,114300,126800,124360,158080,164160,159580,125560,173440,140380,169760,145480,159000,122140,184620,152620,187280,170100,208720,186940,141220,168460,129340,203360,121620,122460,208420,128480,186000,172560,140920,172280,152840,199340,212420,165600,202060,130240,192960,139240,155640,150860,198400,222300,189040,145020,175100,262660,185240,182640,276580,363500,211620,176020,170320,121320,160600,133740,244840,221420,142820,159420,174420,219660,168260,225400,227120,157120,172640,218020,169980,200740,203500,197100,197940,157420,141240,182100,182560,188400,156740,213820,204080,208400,201640,220920,157860,203180,163260,233660,222860,233240,215320,244760,297700,252720,253320,250280,312400,358100,251300,232380,359760,402360,358500,222340,272780,247520,284800,252740,267600,213020,254620,211960,288700,293260,225180,253580,267660,293640,238240,219520,62480,0.465138092
93,PA,Strip Mall,24,7,7,21,21,14,24,14,182794.00546,136570.7692,178236.0714,273,61,89680,106700,119140,125920,138040,141980,149140,141280,88980,116780,112580,109620,121540,118520,144720,132900,116200,174720,85220,153720,141380,90760,107920,130320,97800,132940,147600,151560,90060,118300,118640,134960,108960,133800,168660,140060,152200,148260,99660,170920,135020,144160,101700,171260,155220,130520,166900,165840,139500,208440,285080,202580,116560,129580,90080,172940,123780,172640,166480,107860,108840,158320,165600,146200,139860,168880,152160,120660,102620,168940,167280,118460,161680,97560,125420,158100,147620,124680,123980,170420,162360,126040,174100,173260,108640,113240,182360,114560,112380,112500,115400,173880,184600,206760,200320,204520,230740,184540,273780,169580,264960,312360,317600,228160,168220,157040,160160,184380,165920,264540,231560,221340,227760,176060,197060,192080,209680,185260,240460,233500,211100,-3020,0.319941107
94,OH,Strip Mall,24,7,7,21,21,14,24,14,158044.86066,112452.3077,158074.2857,405,59,64700,85500,99300,95440,116320,138200,74800,119920,87820,127040,109040,141920,95560,77280,73740,91340,94920,151980,122280,88460,108760,79600,100200,84280,95320,100480,84100,73680,97140,78640,104500,92220,79580,93880,107620,103320,99040,115180,131500,122640,87040,127360,91980,145680,132820,161320,161100,136420,102800,189740,178040,171900,108960,136300,96840,104960,100300,136700,135840,101620,130100,111660,152800,160660,139220,105080,137740,144540,101340,110280,107360,87160,141960,141580,112440,127240,87720,127000,98780,128000,145920,104660,108120,143940,133420,137780,141780,143900,133140,151520,138480,101820,172600,188700,190740,201000,185500,213280,222400,185620,173680,264620,320660,239140,184220,145700,180940,158460,142180,191300,182600,214540,147000,167720,193960,155700,206980,171480,209420,149720,149600,-18280,0.231618206
95,TX,Standalone,24,7,7,21,21,14,24,14,418761.31762,350767.6923,423675.7143,450,28,252020,260820,310820,299800,354940,420500,360540,392720,287440,341420,342540,399540,259140,272740,398460,352500,349560,364900,300800,356000,268320,270260,309740,264120,348000,399080,362040,250880,355060,315660,260480,328940,379820,320600,348860,328560,310840,313380,301480,328040,432460,422860,415620,340220,309560,338280,556560,332880,321460,537600,541100,370480,323620,315000,381560,410080,399760,493560,367620,438060,350760,351220,292540,395080,320600,304860,291540,386080,389560,395080,292520,433260,329800,397400,352780,382480,399460,362860,385320,362980,288540,389380,302680,412580,384440,388740,443100,349780,353680,322520,450540,424480,364660,479520,374320,491300,508760,406520,608580,366580,587480,534680,698940,514940,363240,421940,399220,437480,508960,507380,440180,502160,358840,495800,484920,445800,504960,500960,450640,500900,489740,13600,0.671555854
96,DE,Standalone,24,7,7,21,21,14,24,14,350445.36564,284112.3077,347940,123,16,210840,277880,217880,325700,270100,376500,263700,247240,204460,314860,232980,214740,279200,278140,252220,282580,267280,273020,252080,271560,294160,232540,300340,231500,187320,349720,246640,228320,205260,311780,262840,294900,273340,319980,292240,318620,286960,272760,222540,234700,241840,311080,221200,355620,233440,291360,373160,299700,386660,380920,450140,357140,317640,281600,280600,295800,260720,290180,330480,307300,332720,333040,331980,259940,263620,353700,273960,358900,257620,324280,257440,276700,341000,258780,252820,284460,228560,374120,238960,266240,325780,345120,362060,233380,308420,295920,306700,277240,340160,353480,347920,347460,309960,418920,299300,421780,326420,335220,558220,424380,377720,530320,539660,441080,337060,301260,315400,406540,326160,508660,301360,401560,413600,366620,428100,328980,304680,440020,343860,405700,380920,-1060,0.684622802
97,CO,Standalone,24,7,7,21,21,14,24,14,350413.10575,284088,366860.3571,8,4,242660,215960,200540,217780,248800,287960,313680,222260,267660,257140,342420,257960,242540,206180,324620,282980,320360,311720,211040,303080,230280,290100,248300,216980,279260,362800,248420,300540,291900,224860,284120,338660,267180,339840,336420,264400,247800,270960,275160,284220,327200,313640,277340,303840,241940,341420,323140,256020,269240,433600,440000,403220,280900,266920,215520,292160,295260,343680,254340,332400,240300,317000,256360,323060,237680,318420,310460,369940,300100,389020,284240,334540,350340,254840,379000,288080,287740,395160,360980,233820,273240,254800,325880,267780,350000,313900,401580,257960,279460,292580,362760,343300,349900,415840,436920,453460,397120,448560,419280,452920,460700,518240,482780,462160,367960,366120,390120,367620,381940,534920,341520,442540,344880,351720,319560,475660,403900,425220,451580,375620,325500,-36360,0.514159335
98,VA,Standalone,24,7,7,21,20,14,26,13,203915.79208,157113.8462,203158.75,257,42,137820,116700,106960,117160,134120,156540,109300,120840,104140,104200,148320,125960,130780,143930,144370,134970,162330,188350,137210,179830,167030,176250,167730,162010,133510,180930,145370,135170,108250,178510,125570,163050,158830,149990,129870,162410,135010,174930,143770,188550,189150,166390,174590,176670,142730,145770,226170,139270,212890,246770,320510,169130,124470,183450,158230,178010,185950,166550,130150,142430,141130,122230,211550,217250,150390,189870,121750,185410,139130,172570,160510,157110,147730,159770,211810,162310,117650,136570,164190,187650,170290,158370,133170,156570,159870,171770,169830,196890,162010,177430,157190,206530,182800,234120,189060,247360,262480,280460,290300,188000,221900,311760,337260,313760,212900,198740,230700,190280,224300,223280,230140,257300,215040,230080,239420,245480,264180,251800,242240,240080,187720,13150,0.375032607
99,CT,Standalone,24,7,7,21,21,14,24,14,213828.00897,164621.8462,218038.5714,64,27,143940,140720,122400,179320,164400,220060,142640,184520,151500,113860,131320,138500,153800,167900,167160,166340,182840,160760,156700,116480,130840,165220,158540,109760,130840,138220,146220,171920,127560,154740,191480,133760,181080,196480,138000,143020,160360,141660,146180,126940,132680,188680,158020,126740,151280,212200,203860,177920,177420,313120,327420,198360,129000,163380,171000,194800,125880,167040,207860,183460,202680,159360,169020,221220,140040,163220,176020,165520,212460,180460,188880,166780,176600,180440,203920,120520,123800,178920,141520,205500,199200,201740,156860,146120,196820,162380,232240,142240,159260,175480,155440,156060,255380,237560,237920,258100,248860,240760,337520,249160,279220,397260,378900,281500,221700,229800,182940,238940,261000,244160,267960,200920,258700,260680,288660,277580,266080,247120,220620,228560,244200,14100,0.427775599
100,LA,Strip Mall,24,7,7,21,21,14,24,14,176791.54468,130960,177487.1429,21,7,98120,105800,88440,92320,119520,171900,120020,133140,145040,138020,131940,103880,149840,93900,148180,120580,102500,144760,122560,99500,88600,99120,109080,104280,116540,140760,137240,101980,136600,141320,94420,94160,95740,98540,105000,105440,117460,142000,159460,115480,144760,123300,153460,142340,121100,191160,209480,112920,130760,231560,257360,155080,124120,136880,142900,125260,96500,189340,169360,170020,142600,119560,116060,151280,122060,114340,144740,140080,113360,126580,99440,102540,148980,99700,116760,110440,141160,193140,153280,116320,120080,167600,128940,146700,155820,176560,135860,176100,111420,145340,113140,177760,207520,210660,204980,175080,197400,216700,236300,201460,200140,264080,352480,273180,207460,181700,178720,242480,182660,215740,230160,228600,174260,224380,213240,258580,235620,190100,190500,178180,190740,-55940,0.267108799
101,KS,Standalone,24,7,7,21,19,14,28,12,361120.26692,309394.7692,364417.5,55,26,246600,291540,201240,333340,261080,393840,284640,226120,241680,229320,272880,299260,238040,345800,274060,277780,259880,308260,214460,276080,287520,308320,277780,270060,299740,339380,274500,325800,231200,291340,240980,287000,281500,363880,264420,289340,366440,267000,333440,357180,332380,273260,297520,246820,355020,391480,395120,381500,382260,424080,558520,394920,280540,339520,335560,385740,330400,339560,304780,370800,295740,305820,350020,292820,313760,329660,368960,259200,252220,372160,283780,365440,311540,229280,355440,300880,277200,296680,325500,296360,252860,292260,307020,313600,316920,392780,368360,268420,246080,365820,361540,376900,305260,397180,365020,424120,381020,383900,507180,371560,442240,557080,580000,500780,355440,354820,346260,422440,381280,491880,421620,434880,372300,374360,317380,427500,431360,352940,448300,410040,362380,107760,0.849955794
102,NH,Standalone,24,7,7,21,19,14,24,12,245663.47618,205777.8462,255584.6429,61,2,175640,208140,128860,152680,150820,179780,147880,143880,203740,199240,198080,246600,204560,195940,202100,167360,213220,254780,186960,215620,182020,199480,183840,173480,164940,186460,154020,175620,214000,172360,165560,209560,172820,208180,194220,169400,217700,170340,210620,255160,235880,230060,202800,176160,242640,216820,296860,227040,253740,392420,383120,236120,228600,229460,202740,221520,213980,283380,169900,189900,184860,174740,176100,258760,192300,247620,235300,188180,187140,247360,214460,194440,159560,243840,169200,186700,219000,242620,175480,244500,244680,228920,222160,169220,258880,176220,201380,230580,164040,263020,249020,212560,308400,308700,253720,313360,287240,324500,366340,250400,356540,445500,416180,340400,272100,203080,210220,227820,275960,376140,249000,215960,277740,264320,313140,245040,313520,282180,317840,262240,259080,-8620,0.490747559
103,OH,Standalone,24,7,7,21,20,14,24,13,200392.16827,156747.0769,198422.3214,133,21,150260,98180,151200,157780,160880,217320,155080,165360,170980,100860,108360,188800,103940,147190,139690,106710,172050,189250,172250,140350,135570,107290,182470,132950,122690,164690,171250,137370,132290,143830,180350,144330,141790,151310,139510,132130,165570,115530,195230,162370,168370,137790,174870,159490,175250,182870,191290,167590,178830,291770,237070,241270,175630,112910,122570,131650,175270,169790,125010,149790,178030,156210,129730,160530,139970,149410,171650,191090,138010,172430,160910,186190,150510,112810,162110,177370,161870,145470,131370,181950,141990,134890,157450,158490,149950,150390,166090,198150,192590,141230,146350,133350,224900,245540,248720,245500,252060,207540,281340,235700,285520,259460,389760,219000,217140,233880,163540,240560,241280,299220,197020,258760,183840,241360,245620,219300,179160,233360,176860,179840,241800,43250,0.382156214
104,IL,Standalone,24,7,7,21,19,14,24,12,342863.92931,293980.6154,336321.7857,193,8,184880,282840,259600,307300,195480,347220,247360,205160,307380,268200,313680,252100,325440,213180,313020,216080,215940,291660,225260,340680,301740,299000,357460,277800,292580,280540,323660,271900,271560,230440,309340,289620,308780,334900,278460,271320,255480,294980,262720,319100,268300,310000,368340,276540,312260,367920,448120,267860,371720,414060,396540,354960,261860,269340,228080,308020,297140,343160,314820,259280,369760,250260,321260,310280,275020,305500,325300,334800,308740,324060,312420,235260,285260,220460,296900,261140,317680,260980,286240,221620,343380,254560,250920,337820,315440,318920,253780,329800,241880,265040,321060,337440,310320,331560,398660,330280,388680,363420,494320,319200,401380,488640,507960,385900,286000,297880,343000,418000,319280,349220,419300,407620,395540,411660,429360,322800,425080,299920,331300,418340,373000,-112260,0.530308049
105,TX,Strip Mall,24,7,7,21,21,14,24,14,154421.66874,109036,159563.5714,243,12,68120,65960,63040,102640,76560,161000,98500,107760,108840,88280,122680,96500,81700,101700,82240,111700,83580,146960,70020,129880,117280,69820,89100,64500,119820,126240,69320,123440,123820,117740,105400,121360,100760,105020,97640,79240,117920,99100,85180,127720,110440,97800,133680,123720,103320,154620,128400,86680,147660,153940,171840,183540,92500,126740,86100,131880,127440,121440,113160,115940,96480,88180,122940,101040,139780,142540,98020,109140,147020,136800,118020,110060,115740,83500,151600,119100,89120,150260,123040,105160,140840,83600,138780,119760,136640,135340,116720,144240,147640,111320,134020,156280,205160,186980,143560,198900,164200,234840,249020,178300,224640,233800,248700,226140,136120,190220,150960,172360,176780,205620,157120,209020,177440,174500,213100,218140,210160,146380,211420,170620,157060,20000,0.28380442
106,AZ,Standalone,24,7,7,21,21,14,24,14,243303.60244,189254.7692,241945,298,18,179860,159580,137860,185920,127900,252800,173520,195460,142940,139500,185300,172240,202420,179520,176980,168420,214000,186360,189500,166580,157280,133740,149640,179560,180400,149160,137780,185100,192240,206880,171540,166860,226020,157260,197360,200760,195680,201100,162920,221080,147440,162000,152360,164460,246200,203660,321680,182320,245740,242240,243980,282300,190340,171600,145520,174720,158320,275800,174820,196460,168740,225780,226640,255000,234420,184840,243320,148620,176080,181580,189420,231080,223540,186500,219160,186620,224980,207500,214460,169640,233680,204460,153600,240580,189740,175360,248860,183640,175680,199820,166520,194360,273540,279900,230880,240740,252040,274820,310320,287680,259400,326800,326320,382260,269000,254740,246760,310260,253480,380420,224720,246840,242560,299660,329420,302920,310040,246040,255580,276400,301740,-22900,0.453685809
107,TX,Strip Mall,24,7,7,21,21,14,24,14,307402.36684,244694.4615,315766.7857,5,10,165980,231200,163420,207700,221080,320380,219980,274420,247340,198440,240760,228840,261700,204380,279680,262080,175560,228020,184640,249320,221980,253140,223240,208540,212800,202020,203060,196060,218520,187160,266980,189260,199820,291920,225600,245980,259060,260820,263360,234120,265400,236040,240700,217320,268960,331920,349980,207380,285100,426780,372920,308680,238640,224140,255460,275880,256260,319560,218700,217780,297360,200880,228120,291700,241120,289820,266200,209120,259700,281220,279220,248840,230040,293860,326260,262020,219500,229320,244520,221600,282260,231500,286580,226180,221660,247720,327500,283320,266720,284400,279780,324260,321500,390140,334280,394940,339900,341460,440720,366000,370060,551200,507120,467320,244860,273980,251340,373340,313840,473780,357420,396160,298800,328900,314040,402880,323240,336480,345920,353820,346380,-57320,0.510025584
108,IN,Strip Mall,24,7,7,21,21,14,24,14,187090.74128,139687.0769,190945,48,4,134200,92780,102020,121200,137780,128240,123500,144520,128360,135200,123660,115620,152980,116220,94700,131760,111780,112240,132300,98160,127760,112520,99680,98760,101360,164100,124160,151560,130220,145460,146080,144300,155960,130360,168360,117100,129360,116680,166160,117720,162880,148160,111840,113620,179440,195480,190100,143440,137220,241520,283300,223440,96820,144160,103280,127220,159740,204680,153680,157160,136440,131900,154220,154260,140780,182320,142260,136620,139840,177800,173460,123260,131120,166400,135840,129280,133900,198680,134340,147420,129420,140160,117780,133140,163520,136000,153200,133120,147220,130100,189080,141680,223380,196200,203920,211020,239460,244360,309420,214740,256560,244440,363780,287240,169560,159400,213920,188160,234480,257300,220660,190520,226260,245840,208120,249660,224420,238820,245860,207400,251060,-36760,0.314986777
109,DE,Strip Mall,24,7,7,21,21,14,24,14,275005.40268,219988,278407.8571,412,82,227740,228400,151680,172340,199300,202680,216940,230680,235660,211720,221080,194460,184440,166860,175040,188760,238840,192520,223200,188120,163660,154200,264760,156980,150120,225740,199080,200140,167740,226880,204140,229160,226120,229540,248200,173260,221580,173460,187180,248320,282860,229200,272020,198760,193500,315880,277260,256780,234080,380320,320780,259500,249100,174580,252500,211500,174700,272480,269800,202600,232700,245160,270640,220500,201300,223760,226300,250180,184340,294640,269480,218500,256760,187980,295580,203160,251260,212580,284520,253360,187680,241860,254420,268520,201800,275720,301380,238140,225880,249300,293640,229620,301680,343300,278020,251520,283400,360900,413940,338140,287680,371580,401540,331660,259700,243480,295160,292060,294300,308580,272740,358900,316800,279100,262440,363880,292460,315740,327320,277840,286620,-17580,0.425468353
110,TX,Strip Mall,24,7,7,21,21,14,24,14,289365.87867,228589.8462,285478.5714,6,23,190120,147840,191220,169740,179340,209400,250540,252020,174340,191080,222580,183640,169620,206660,185420,221040,197720,270060,226360,222200,203740,162980,229400,161680,225840,185840,170760,254620,189900,225240,212020,191640,218500,191720,211100,260640,203000,271560,214940,245100,234580,228000,227260,268980,243140,309180,360920,208440,309020,411460,453560,253060,184640,222340,195760,195240,187180,274980,285760,283720,199580,259160,224380,307640,239200,201980,181640,239360,240000,260960,175880,264000,277920,283340,224020,173920,190240,261920,185880,233820,214300,203120,300100,202080,201500,225300,259380,287720,252320,262080,264240,233660,300040,291880,268820,304860,351340,411020,343760,362400,390000,361960,560040,446400,252260,246460,257000,365440,273960,353600,342360,281780,311800,319700,297480,350340,344240,288260,352360,309660,346900,37040,0.515262988
111,IL,Strip Mall,24,7,7,21,21,14,24,14,354811.13478,291058.1538,352016.0714,105,9,270660,204600,204040,272640,291100,255740,227620,239720,259580,236940,296340,260760,239040,255960,248440,246280,334540,266920,236140,282460,317180,280600,274700,287220,252680,365360,315860,223540,240000,211900,251520,232700,247140,284560,290300,264860,324100,315140,337860,282820,257900,360640,353840,288420,356240,373300,363580,288120,386440,486100,501920,348700,210940,240700,297980,297640,325040,363580,300900,263960,344100,287580,266000,346160,279440,321000,304220,336580,319340,295460,311920,273620,233940,254440,383380,287000,260080,348320,249560,320640,247920,303120,323360,310600,310340,329960,273380,365380,320860,333720,261660,388700,329440,446260,392380,377560,396340,373720,557840,366840,352620,574600,562080,373140,304960,331980,392920,421120,318560,487240,424420,329880,355980,406080,330540,440140,343500,385040,347860,398480,322880,16920,0.631178002
112,NM,Standalone,24,7,7,21,21,14,24,14,319502.85374,255011.6923,312786.0714,220,14,215880,195180,156060,206700,249720,226640,259560,226740,275660,264120,228200,221680,243140,267280,280640,191720,225620,271440,270800,250220,197340,270060,284920,228700,200700,254580,257520,251180,284400,211260,273980,249040,203380,247920,205660,222060,209620,297680,258580,274380,259660,289080,208640,258920,306000,288960,364800,201000,238600,340840,477520,378700,177340,292080,249820,299100,269160,287500,240960,285420,257640,230240,274740,264120,224960,242620,320020,216820,251880,302740,287180,316060,278240,263080,234460,190980,290180,288300,270140,248160,295600,284880,207460,322780,296300,254280,222960,267140,302360,225940,296560,240920,335920,373080,315360,326820,293060,323600,437040,318880,413060,393040,464000,348900,333960,375860,356780,405760,298440,344040,395520,379960,305620,310360,411320,356020,383440,285260,340260,378960,293660,24140,0.658377686
113,KY,Standalone,24,7,7,21,21,14,24,14,388429.16245,318667.3846,383311.0714,241,5,229420,324880,210820,258620,234100,432220,278800,245420,318280,240860,305060,250400,269000,334000,300980,225580,353180,399200,281680,249680,332360,251420,369180,300100,216420,399080,315720,350020,306520,279840,361400,275280,338740,267280,254340,364320,312700,243700,387940,396220,356840,264840,315880,361820,312040,313640,377960,270760,394180,466320,445720,493160,359040,353420,288400,349780,270320,486840,260800,330840,309220,313020,302000,350540,301240,364620,277320,344560,329340,321560,270960,315120,364480,294260,409080,294420,273940,370240,337200,332020,322760,308520,357280,346660,355360,395720,285860,333460,401540,303300,372880,393560,472440,433560,327160,338980,475420,415300,449120,373900,424000,594660,527140,551440,417860,349680,332840,489320,421980,564040,421840,377540,377200,375920,367560,400120,382020,486260,347080,443860,451160,65000,0.821034147
114,OH,Strip Mall,24,7,7,21,21,14,24,14,189027.95972,141464.6154,189413.5714,21,1,121840,130760,108340,162200,108600,150420,139820,97120,158720,95180,163660,144160,99540,134080,114160,137480,106480,125780,94800,129140,123300,158980,105600,105200,100540,175520,123640,121820,119000,94060,112120,164320,142120,137600,139780,124340,100600,130120,138080,130320,127260,138940,140000,146980,192700,178000,213760,181960,183820,223840,199940,218520,126480,163580,163120,140100,144000,210080,127340,146920,168880,118100,148680,175740,147120,162620,157900,171340,149440,131280,169300,159880,114540,162420,118760,128200,100680,143240,175980,157080,163320,143540,160540,182840,190680,188620,131480,151640,179860,131860,174920,146020,172980,230960,252580,177720,222260,274840,282160,231800,235960,347760,353420,236220,161240,194200,160020,197340,207340,204440,172980,216840,192120,241120,197460,244380,248600,171320,195600,180060,255460,34540,0.353591331
115,OR,Strip Mall,24,7,7,21,21,14,24,14,221959.45952,169604.9231,218649.6429,384,9,131420,169980,138900,172500,147340,212760,161320,175740,152900,115020,129760,125520,151840,182520,186700,180940,192340,190240,153900,119960,121740,133060,177760,159840,151220,192460,166640,173580,175400,134760,180640,194620,148040,142980,148960,179500,132720,122620,135640,135540,141680,188540,152120,157080,195860,186700,260460,196480,172840,315640,267900,203240,188300,131480,125440,199500,192420,262400,166040,177100,171600,158460,209060,166380,138280,188000,197400,183400,214240,152580,133540,179840,158340,188980,142800,165480,196040,148320,187620,131940,184820,182160,225820,152260,191000,164960,189500,159340,195940,165160,193400,204120,253080,194340,220100,205880,267900,252740,371220,220580,268280,349440,345900,297680,247120,202040,183660,242020,201460,331780,225380,283240,238260,264920,249240,309640,255620,281280,195540,278760,230280,30680,0.46041625
116,IL,Standalone,24,7,7,21,19,14,24,12,147267.55739,113288.6154,147305,210,14,76360,99520,61340,69400,87180,139880,109660,113920,85120,93820,103280,85760,97140,113000,100440,81780,100200,124900,107340,126720,117600,125500,82140,121680,96200,87540,84860,89460,81860,103520,118860,84820,130660,105200,126840,80320,112200,116280,126080,108200,144460,128520,130280,113580,116740,158600,162420,146860,122500,178240,180700,120620,130340,129300,92860,143240,105940,174040,127420,103920,85960,120220,128920,134300,107200,103720,106200,110660,133780,108600,127580,131300,85820,107800,114000,90420,126440,103360,85660,108740,80480,134380,121140,108060,96480,110920,125540,103760,92860,129840,140160,152340,184700,172800,181900,134660,185700,205880,247940,187000,191260,236700,232760,220720,148920,154920,165180,145980,140360,166820,183240,194720,182700,144000,138700,192220,176120,176780,198260,155600,162500,15860,0.308058166
117,AZ,Standalone,24,7,7,21,21,14,24,14,370198.04553,304450.7692,364144.6429,243,56,206780,280740,252100,340420,248280,339320,330740,303500,263300,250780,288440,234660,304840,308120,327020,330040,243280,307420,213900,302760,321360,322620,231660,302640,234420,342780,326300,260560,332780,307660,348900,230200,288360,323020,261380,320680,324280,279980,272360,346640,236880,239740,331580,341580,310780,414920,404160,295100,284540,360120,509160,389160,255400,342600,239360,371560,345960,300800,343020,253480,279840,358380,290360,271460,364340,237360,378280,286280,371480,351060,322960,295580,289640,326260,257980,278920,290200,334620,359680,305140,332280,242180,349540,283940,311900,406800,263120,270120,392360,321640,309040,276760,314800,460300,437460,318500,343680,495800,534100,372840,360380,470220,509340,453620,386280,412120,324220,424880,408380,486820,440040,445800,401220,456800,428060,386580,346640,323140,416100,399300,389560,3280,0.757639713
118,WI,Strip Mall,24,7,7,21,21,14,24,14,384196.72899,317812.9231,393722.5,123,4,249960,341960,328240,298600,240960,321280,250300,275520,296040,341100,369780,348020,333800,357760,332960,282300,316120,262140,249440,319760,301840,258200,341160,259860,221000,282760,247320,281880,245300,342560,345700,294720,317800,304800,333160,322400,366940,256480,258500,282720,345160,263000,323560,276360,278080,339580,405940,287680,420380,592720,413620,374300,359440,290860,232100,326340,349960,364300,372540,271080,270060,400020,338660,434400,346560,296160,358740,336760,264240,359680,330080,371020,347560,283260,427340,247940,329500,393820,304780,340240,323320,290660,383980,325620,381700,402440,390880,329880,304040,279400,360520,359580,384080,386060,406660,472260,369920,402300,612560,346260,437840,709380,744480,556460,352120,428780,356440,490360,420220,573120,409820,418920,354400,456360,419100,490600,338580,468460,337820,391080,390880,23960,0.879235974
