storeid,12_14_2014,12_21_2014,12_28_2014,1_4_2015,1_11_2015,1_18_2015,1_25_2015,2_1_2015,2_8_2015,2_15_2015,2_22_2015,3_1_2015,3_8_2015,3_15_2015,3_22_2015,3_29_2015,4_5_2015,4_12_2015,4_19_2015,4_26_2015,5_3_2015,5_10_2015,5_17_2015,5_24_2015,5_31_2015,6_7_2015,6_14_2015,6_21_2015,6_28_2015,7_5_2015,7_12_2015,7_19_2015,7_26_2015,8_2_2015,8_9_2015,8_16_2015,8_23_2015,8_30_2015,9_6_2015,9_13_2015,9_20_2015,9_27_2015,10_4_2015,10_11_2015,10_18_2015,10_25_2015,11_1_2015,11_8_2015,11_15_2015,11_22_2015,11_29_2015,12_6_2015,12_13_2015,12_20_2015,12_27_2015,1_3_2016,1_10_2016,1_17_2016,1_24_2016,1_31_2016,2_7_2016,2_14_2016,2_21_2016,2_28_2016,3_6_2016,3_13_2016,3_20_2016,3_27_2016,4_3_2016,4_10_2016,4_17_2016,4_24_2016,5_1_2016,5_8_2016,5_15_2016,5_22_2016,5_29_2016,6_5_2016,6_12_2016,6_19_2016,6_26_2016,7_3_2016,7_10_2016,7_17_2016,7_24_2016,7_31_2016,8_7_2016,8_14_2016,8_21_2016,8_28_2016,9_4_2016,9_11_2016,9_18_2016,9_25_2016,10_2_2016,10_9_2016,10_16_2016,10_23_2016,10_30_2016,11_6_2016,11_13_2016,11_20_2016,11_27_2016,12_4_2016,12_11_2016,12_18_2016,12_25_2016,1_1_2017,1_8_2017,1_15_2017,1_22_2017,1_29_2017,2_5_2017,2_12_2017,2_19_2017,2_26_2017,3_5_2017,3_12_2017,3_19_2017,3_26_2017,4_2_2017,avg_pre,avg_post
56,241060,232500,286380,320240,278800,323480,279460,235480,225480,229180,239880,237560,316640,223880,299040,222880,286440,322420,290100,321760,308540,314040,261700,295140,237460,351960,245220,216720,317880,280300,288540,249240,283360,299560,280620,286640,278620,273840,270720,255120,251420,248420,350120,339640,309360,353380,367000,341640,303460,410380,455080,341820,276820,324720,288000,283600,237640,411080,251620,271200,285740,316660,268240,295320,349860,304660,313520,339440,302060,278220,344640,349680,283040,324500,303800,266080,335460,265060,331620,252740,335700,272200,275100,362860,314760,257440,277500,316200,311520,264080,266340,374280,306080,264060,265600,329040,356960,429380,471800,383060,295020,450760,498780,449220,249000,288400,349980,337760,256060,322260,343960,339240,290800,312560,327840,356760,380480,277700,276800,375460,296540,249748,258060
57,212780,204160,216480,273120,249660,374140,296140,257820,262120,243860,317760,281300,266100,245980,314420,276800,314100,286980,247460,269600,273480,252600,283860,289460,228580,341620,278640,265860,286760,281080,309660,272700,229100,296680,347980,321780,311980,338480,250720,322600,344680,343720,262580,247140,352220,334160,334880,280340,285740,437180,459160,369580,233880,280340,287980,307140,304300,394080,287680,310000,347860,258660,245860,374820,260000,260660,326200,308480,336200,261600,282380,341720,293140,265560,267620,323920,233400,347980,268280,230580,278740,284320,251780,254900,269260,304640,342860,255900,252840,340780,276600,348060,335160,301640,360200,295320,327440,301260,387000,339980,397520,442220,419860,402620,279080,264420,278340,348880,280960,379400,334540,346980,280980,265640,283100,360140,270780,306220,256520,326420,296720,274228,287825
58,235640,235920,227020,208120,248180,282900,187680,249700,225500,229560,194720,277980,230860,222120,268660,267840,199840,287100,220340,234040,199880,250500,283280,174460,239680,284860,225560,195560,226380,236360,252300,273780,194300,286040,267720,257660,244500,242920,205280,281260,281960,225700,214500,246400,272960,239580,316960,205180,276000,398060,387780,268900,196720,231680,253100,217680,219740,311920,290440,270040,203620,228440,283540,308220,248480,252100,293300,218040,214000,288360,255760,233000,251860,256160,228820,223680,198700,261180,252060,247300,218820,205400,226220,220400,239540,216400,271720,238360,292060,241580,314000,300760,239000,268140,305180,313680,232380,305720,414840,250040,257880,400980,351480,314060,287640,261120,270640,243340,222060,334220,308380,267300,220160,302460,313460,325320,271380,242080,321040,286020,287900,231724,239615
59,96480,114560,130960,111660,132600,147180,151460,150060,121560,124000,139600,163800,112640,153460,108620,154760,119760,166280,116500,132280,141940,149480,130960,103220,110480,155500,144620,141660,149220,115400,147320,153140,115380,129960,152800,157860,137240,150260,115760,163720,134740,137420,161060,154180,136180,134060,158040,157760,189260,189160,192320,166640,136120,136220,152280,137060,126480,155080,161340,144320,117160,168740,128920,145680,169060,167560,160040,136940,155920,127860,122780,136000,112440,145000,123700,148700,140980,167960,133460,152660,127720,119220,139320,157200,151720,163000,153280,172880,138540,129960,124200,153480,175980,133280,152420,149260,128680,203380,234240,150100,189660,208660,271380,208500,136180,160140,127320,148520,149940,218400,135480,152340,124140,131520,143500,136140,158420,176600,180980,178580,167700,132320,134150
60,153880,138780,153900,178740,142960,163660,190800,160500,141560,185780,189260,189280,157860,151220,161900,139560,164720,192080,130820,187080,187280,169760,191500,154980,152300,186700,184860,174320,150680,173820,136140,164220,150020,139820,193840,184660,177660,164260,198580,141200,150500,166420,192660,149960,169960,158460,215260,196520,167880,249200,261480,258220,142440,159420,175820,163220,187400,245800,195920,147060,205780,146060,211240,181140,210020,146240,204400,177580,189200,212100,162460,162460,184440,193640,184300,147420,138680,169920,151160,165160,178380,145180,169240,206860,153960,215020,177540,181600,166960,160960,166820,174020,159220,177620,163440,166120,216520,224380,232280,181700,250960,289900,283380,239940,195340,218540,148840,204500,201480,225200,214580,164600,216960,159060,228360,217500,197640,162020,173440,209700,217320,172748,154350
61,207240,225760,189760,204280,181240,285620,221620,178160,182720,204520,258280,184160,210920,176940,180260,206200,210740,237660,174360,218800,198440,231160,258060,214120,220100,222680,222080,241600,232180,216780,223840,216620,240520,218580,250900,196500,181340,243000,211640,237360,208520,262020,244000,221560,195620,217520,270360,245440,207880,381000,415000,331480,252180,214720,232020,229380,250800,259260,262740,244840,266100,220340,265060,213640,250520,194580,249620,266200,263120,269620,200740,206740,201160,264380,209320,236840,186060,280340,264320,191560,190540,236660,257620,230580,257280,229720,289140,221960,278800,245220,211560,238100,273660,230420,224200,217900,288280,312820,335860,259440,235560,355060,350180,331560,253220,265300,224120,269520,233520,322020,236400,216360,230340,302480,284300,282340,254480,302060,291720,301720,274260,208120,193535
62,85140,114260,103960,111840,112700,139000,93400,110000,92840,90820,130020,106280,126280,95720,101980,109340,120280,147060,99000,107460,101240,117700,139680,126860,126640,133640,121740,109420,121500,101420,116160,130900,113760,139560,119200,113940,120120,99600,124100,117240,117240,106600,136380,121380,117220,127360,192380,104520,117900,206280,167740,132500,109220,102820,125780,125360,121900,138180,136160,124440,128800,113260,123860,119780,117420,111680,113480,108560,137900,112000,112000,139980,124960,101400,143600,98320,134040,135420,126620,100860,135940,117120,127180,105520,125700,145880,130080,109740,145200,135860,140500,150880,137800,147500,121620,151520,138620,155520,181540,111620,152520,193760,205460,146140,134120,144960,129700,149940,122940,132940,110920,112520,132820,128700,149440,117600,146860,127140,136080,128660,146720,109248,106830
63,179700,172440,197860,217840,236260,275040,197980,170500,194800,177300,258400,226160,195000,175960,250340,234000,176140,244060,230700,187280,225780,220960,190800,241920,179640,268140,184120,173000,171180,218140,236280,233420,201300,206140,232080,248660,202500,192260,230480,261220,255600,202820,253360,238820,252620,256820,315700,282880,290420,270500,376300,288940,185200,226780,205760,195940,217780,251420,214680,264400,215420,281700,230240,292820,236100,244020,202280,271440,245400,236840,185960,242140,194960,251280,230460,210780,223880,213060,267140,254120,217620,256820,221960,263260,270480,295100,285300,232840,272320,235900,262720,228220,212400,286720,305500,261360,242780,275980,363940,252840,271640,334000,321560,308420,256700,239960,247300,239420,199160,317760,297100,235360,254160,257240,257440,306080,300060,250940,218280,272100,291260,210332,209110
64,241480,305060,305060,257760,328680,398060,344400,351220,337860,267700,311620,307560,346640,259960,309300,284020,354840,318940,338440,299140,331960,260300,315960,273240,302440,285000,342440,328020,245740,248340,259300,350500,289740,272540,276680,316600,322680,325420,275040,385560,356040,282020,340960,324080,392700,336200,497040,291920,332900,548780,520960,331640,314240,355240,305060,268520,344420,456620,373480,336820,381940,265420,318960,375760,346580,318840,371940,328780,330320,305260,341600,323880,372100,285780,382900,293640,295120,392920,369340,317620,275500,278840,286800,324280,366960,364400,282280,289200,355260,345020,392100,400360,283920,400760,376520,298120,365620,342940,490100,340580,339820,531460,450960,522320,375420,304620,265320,407900,285720,393940,337240,311140,413700,392920,381220,338500,371920,403320,401220,326580,326880,314276,302030
65,234940,208240,271040,280000,204360,311400,294720,239240,284240,221100,214480,261260,278100,212780,271060,285520,206940,265620,238440,249380,273300,282980,232860,193540,263160,224220,237580,241220,225600,237980,281560,221640,308060,324000,227360,237060,247680,282540,250660,224260,260900,229140,254540,327560,232560,300320,417700,252200,259900,344600,347900,282340,294220,259020,284580,261340,315920,345120,251420,288300,259900,232780,236640,291220,267340,309600,266880,297620,262660,346820,299700,248320,273360,268920,266320,237780,278660,357840,308960,251520,239520,226040,240720,262700,232740,248200,313140,326920,299720,264600,313860,279900,351980,332400,292320,332060,361420,362520,483020,359280,378660,507460,504320,397700,324800,331300,242760,349280,268240,360780,341640,320440,244320,343480,280300,304100,248440,352340,290880,257340,352860,251836,244075
66,300500,237800,234360,341680,325140,367620,254560,328780,297160,292920,247600,308760,294500,280260,278260,327300,244180,384000,313160,299500,310540,278600,298340,281060,286800,291740,340420,280900,281500,336680,262280,322220,260500,283160,369420,363680,294200,328400,374860,327560,361240,283860,334840,380960,380760,340420,487680,291420,395360,460020,571820,428540,244100,287180,266560,317620,356040,414480,322560,360580,335900,305040,354140,294040,313940,382320,277840,362720,293000,384440,369520,377860,376220,374040,393940,264520,246980,409540,304920,330320,305380,360020,367320,295240,321120,317780,413440,313020,319680,378500,382680,320060,384200,414380,298540,369520,361020,413700,463260,421100,318760,531160,490400,490320,361160,273280,333320,429440,381040,395020,317440,280860,368100,398200,317620,421640,331400,381260,285760,349320,370220,288188,282500
67,111520,103120,132020,127000,133960,182220,126660,112080,149120,136560,154120,166720,156580,113180,150560,142520,160540,138800,119720,139000,122420,130660,117680,122080,115080,176260,122760,119620,156060,158360,131860,123580,135380,145320,133040,118520,142700,120360,142960,157620,171980,124340,132300,156000,178840,181400,159880,163140,158300,207020,192500,194540,132200,128800,146020,180340,136900,212580,149080,165300,169440,163740,175160,180140,128060,123940,145560,165920,147740,148560,144700,163620,122200,164040,138720,129720,115020,141880,150760,165700,149780,169980,173740,163820,166040,141000,143800,138100,170120,140940,188340,162980,153740,167320,139740,134920,176500,205340,237160,176880,154400,185900,253240,159760,146400,176060,133680,159620,126760,206400,165180,173420,163440,165460,180440,176340,145840,185840,136920,158740,143640,152620,141700
68,242320,265920,259520,261180,219000,251720,246120,210660,268040,231500,206200,287100,231880,220220,233340,208160,230200,287260,270820,224700,220580,257720,271200,194580,253160,303740,263380,281360,238280,285240,247400,280740,239620,288520,237840,233920,226860,234360,313140,254160,276040,251440,298140,300220,299120,351220,324320,241120,259640,346820,381880,347840,236720,285060,256920,296940,271920,254660,246360,267520,285840,263280,218980,317240,248020,286000,288780,292780,307900,264980,213920,244120,301280,243340,258000,211920,273780,288080,235300,214220,241340,221320,282800,299020,296660,289680,232780,234260,287460,267060,325320,285820,329080,274300,269100,326300,299560,375500,369480,282320,381580,353580,358380,295660,284060,257340,227760,295620,291980,396800,308180,240520,243500,316560,341960,303920,240780,276660,287880,299100,336980,244944,222980
69,206920,247880,264660,240780,246660,350960,269300,303340,269800,287620,298840,311060,236720,227740,257220,257940,257660,307960,232860,240740,238620,205360,286000,225360,247440,297340,269840,214120,282380,230520,284100,295580,290360,290160,252640,310380,288600,287720,252800,298820,326660,324720,255360,251800,344380,286740,422640,311580,295160,482380,345860,400100,251480,229320,257600,297020,252420,403140,320840,269080,299640,306020,298420,290580,287620,246380,261140,294300,242960,359520,270760,251000,293120,263060,358860,239980,254160,259720,313740,230540,238860,321520,281860,245080,315120,247700,272060,291400,257760,302560,313060,325780,266000,312540,341720,261480,353220,397280,453920,263740,318900,485800,461560,421100,322540,336240,250140,302540,352740,391060,356040,265740,338760,290360,328080,268300,343240,313760,274440,332560,314980,280808,250140
70,117280,131000,114760,112760,134900,143780,99620,102740,137520,128440,145340,130840,97900,123080,142800,133060,125980,122280,134820,110300,94780,102520,145780,132560,102560,157640,100800,140100,95900,112860,100080,112480,113820,134880,145700,130600,140480,133120,146860,127080,122480,124340,154200,151120,148560,137000,149320,145180,167580,210260,237820,144680,137320,121500,124760,156680,132920,129840,146260,141500,144920,157120,136000,134220,141480,157180,150780,133120,132220,134460,121180,118280,139780,135380,125760,126320,100740,119500,145720,152300,144800,106340,115700,162800,117680,169020,124040,136980,127700,145980,130740,125800,156780,121200,148900,173100,168740,145460,224380,128640,153180,228080,246260,193320,149900,117000,126820,160720,160400,160880,135700,131420,120020,130180,162740,147900,117680,136120,168460,123460,124520,128008,131230
71,211980,276600,262020,221620,196200,266320,285940,297740,299080,292820,249160,283880,288100,222880,303860,263040,289460,254720,284040,252120,246940,262180,258340,204680,271900,292580,205460,285500,296740,282460,262860,261740,260940,318600,252060,258220,258940,317080,244640,274260,260680,313960,228920,300500,250400,347980,397740,283060,295680,417640,445940,330800,295480,274380,213160,309780,313960,399320,335180,292880,256880,302720,347060,297960,264540,220040,285580,235340,276880,244220,248020,238260,243840,246180,282420,216580,246640,272780,217320,290120,250680,228100,308960,309500,321680,262640,308300,256720,259740,234340,343520,267900,258900,275540,302380,341560,290900,273460,331920,328380,356520,448480,428820,386620,267360,301660,218680,283420,253620,284080,330660,252720,289260,255120,346620,368680,250820,258360,313420,290900,288480,282608,269810
72,166320,151820,161660,168740,166720,224440,168280,186400,192560,134360,143740,148560,193900,151760,153060,162020,187160,192940,131860,133780,187860,130580,202440,130140,171900,198880,183800,133960,142860,187320,161040,142080,180260,158680,189940,181640,200260,181880,166320,191760,179760,188920,157180,181460,180160,197260,208380,200580,229780,224920,217720,197780,192080,172440,192840,194660,175980,188660,154880,160940,185940,166580,198140,223240,180920,194080,151440,206280,154180,237280,181100,214380,144900,181740,164820,186580,149120,217320,165760,165740,171740,170360,193680,181920,221140,195100,173160,219200,220180,155480,170660,155400,220020,212240,223340,186420,228200,183380,270380,230260,183260,225700,347200,261980,163760,219500,146320,177440,218080,213740,194620,173460,215020,204060,170120,245840,205660,230820,164120,201420,221940,162624,163500
73,281320,253400,221620,279920,269760,285180,257540,302900,281460,275740,228740,246260,248900,287760,216600,260020,269480,258640,261780,302680,226220,262440,258300,257180,272600,259700,210740,299860,241700,308520,231120,256480,240680,255440,282460,225380,262020,290880,261200,252700,272840,323840,261260,237740,257180,306160,450300,341360,291940,429840,507300,416920,237380,269140,224480,275100,261180,382680,238160,251240,316820,300240,307200,361060,262320,251660,234280,347320,311720,310280,249660,321600,315620,310120,248640,244100,245720,256460,257220,300540,262320,243780,329120,298380,261720,340320,254600,359240,323220,324560,375460,304120,339840,365000,310160,379340,314780,313080,487360,319180,338860,471440,560040,320320,344940,305740,329360,381960,332400,370280,352220,291560,337460,296080,382780,297920,331280,347280,365340,300200,327500,256220,258465
74,244180,271260,235440,246140,209760,247680,249580,252340,302760,236040,225820,238640,259360,305140,280400,253560,268240,319940,302080,276940,248700,229280,260500,225780,238640,237120,264000,208140,268200,251840,224560,282700,247520,259920,232880,321880,301200,263560,304500,267920,279680,297820,290500,240100,346980,260680,364840,249220,338740,377540,490220,338720,288700,237040,236080,261320,230380,312180,233180,265740,261020,232900,242420,265620,297280,234940,335440,294020,303120,354260,237740,309540,249040,225000,356500,287400,316640,254440,259920,326300,310400,320480,264280,245740,353000,305160,346600,334940,353620,318280,273900,368620,347840,308700,368160,321920,355980,347740,472460,279860,315040,487980,426240,385680,261760,319420,281080,378480,351520,365540,264680,257800,309560,262080,259760,296400,343580,255040,343580,312580,260920,252524,276835
75,110540,108300,106480,133820,104940,154340,112400,106300,127620,145820,125220,131820,101700,139860,122040,107840,137440,149940,143000,125320,106240,97840,150320,135900,137080,141760,116800,126960,138680,126680,144220,107660,105720,131080,113060,140700,107460,114680,159820,120440,124300,125480,123620,153520,165000,167840,178880,149400,123580,164000,167540,142120,146360,151560,111060,159700,119680,179220,139460,132300,143400,116920,127800,152140,123400,125520,120080,111280,115380,129080,139500,152680,147840,155120,135560,111360,136840,130040,150940,141340,113980,121640,157340,164620,156120,140880,159300,128100,126940,155920,129480,174200,121080,169140,124240,125240,141520,166380,190820,141960,174420,200580,186020,214700,124760,151260,131960,160920,168120,193940,122560,147820,152000,167260,128280,140380,154980,170500,125260,160100,153320,126436,126795
76,84780,108400,112120,94840,112080,127300,128140,89720,91820,128160,120300,93420,118360,97040,94500,88320,118280,136520,99180,88640,116620,95020,136300,93880,82500,114680,124060,119240,101380,95660,123700,102960,130260,124560,126980,112600,132420,130720,102100,103500,125200,119340,103600,122780,146780,119640,179800,104380,127860,155580,198420,153140,110440,112160,105380,130460,113400,126920,114560,133260,120460,96000,107160,122940,135040,140460,121820,102960,105300,118560,98520,105420,112200,112960,119660,101360,126420,109640,102040,101480,100440,125040,108280,122360,147640,133980,119120,136760,147540,146820,136500,130980,134700,118880,135220,131240,123080,168420,161560,115860,134620,213880,186060,150120,96340,104740,122200,150860,103080,138440,104300,116080,116480,149220,117020,121300,108740,151060,134820,133760,124980,110412,99535
77,279660,202180,233260,250900,295200,251220,249100,214660,302960,277000,230120,225140,268940,255820,297120,313340,228020,274140,278520,288600,229740,281640,326320,288440,268860,299220,253900,246020,231220,269380,238400,293540,306420,229920,317080,263800,233160,294780,242580,314680,237660,308520,252920,291700,315060,264560,313260,307360,266060,381240,426700,346500,269260,226180,233760,326700,294980,373420,299740,260880,297000,239960,295420,334460,319940,237220,304800,333480,296040,279000,321260,263980,274080,300280,287060,296600,296780,253700,236220,337800,246700,237080,339020,284800,291420,289640,267460,295720,240900,305540,316540,283180,317060,285400,345720,319620,319340,409900,424400,311220,285780,454920,563140,364340,320240,323820,231680,259160,296440,343000,279100,324580,362100,277420,373660,273180,289600,339960,295440,323080,361560,260832,273575
78,248540,305700,233160,263940,240560,313340,311260,293700,305480,233700,302800,348800,313160,290020,239160,319460,240300,362880,268680,249060,310240,230580,340660,229020,224500,255980,253420,325940,306740,281720,322000,249120,297140,290420,297780,342800,327660,325020,364240,262660,346800,324060,286760,366440,337080,344280,326260,262600,408200,426580,421420,374360,321640,248560,299260,341240,295820,389060,262200,260740,265840,251600,381640,381920,361120,331680,320620,319860,287000,360560,250240,295280,346940,301680,282840,310860,302660,284260,324440,366560,321460,283100,327980,345840,374640,330260,287220,271600,293080,329380,323180,349860,321600,346800,331680,368240,290300,332120,378160,353440,302920,520760,442500,409620,281020,383120,272960,325220,361840,408540,314320,332120,304100,366620,375160,428320,335740,308900,279620,382320,295060,300788,272235
79,216260,190660,175500,203280,197640,260020,212620,223880,216000,184520,170260,217700,196180,188580,172380,189340,217080,207980,173340,205540,197160,160280,247860,210720,175380,232660,198220,213440,185080,168080,172000,165400,195720,219260,220740,199720,240980,168360,228200,233720,253380,240380,183300,218380,236720,207640,288640,239420,218920,264260,339620,236180,228640,185680,187740,207120,227360,239860,236280,230900,202760,255340,252140,249400,185380,248320,181980,218700,198340,229340,229700,258100,211340,192300,190920,216800,213220,202340,215700,248420,205800,192960,223580,227300,213800,257820,213200,208740,219380,202320,230500,267120,259240,194740,275460,280560,272360,310200,253360,287160,267080,352980,360180,301360,257880,209760,260260,217720,200500,262620,206160,251600,284140,203240,205940,305300,201360,259500,230040,277680,268860,196932,191845
80,231840,273120,302440,340660,294180,425060,369800,260100,374480,266000,331480,380480,377540,300180,271380,305240,332840,357440,307000,294260,293180,296360,360860,350560,327740,349360,312080,315940,312440,353300,295920,328700,347300,314680,382500,351340,344600,366400,326280,357980,382820,341420,323800,378940,384340,436220,390060,369860,385680,429460,491700,468500,297800,384680,350640,298380,311720,417560,291440,372300,365060,403800,429100,363660,336260,382400,393340,342660,304720,340000,344820,400340,315980,332520,427500,356200,298240,453880,305880,308160,356500,277720,296840,351080,307160,378080,434060,344660,431700,306320,418280,443220,435120,401820,381680,420340,412400,375440,580600,361680,344080,534600,523860,494480,371800,302960,357760,424420,406020,527560,311760,441040,399100,322960,437960,415160,331320,303880,329700,305480,414960,345996,302410
81,145560,105020,110660,113800,120760,155160,146260,145600,144660,148460,126880,151800,141740,159880,154080,123460,159540,161760,140160,144100,160240,120800,124480,133800,140060,152740,124140,124940,129140,153640,135640,128180,150580,167940,178740,120100,126700,131400,160220,166940,132380,144940,160200,161100,166460,161220,211220,147580,188560,241300,267300,214640,151720,150580,138800,138460,165080,215520,154800,131520,145400,160960,147660,164880,147000,161540,158360,181480,176220,196020,166520,166800,150980,150660,177820,140920,153600,166020,122240,168360,158780,164560,128740,130860,148100,187480,184860,146800,154260,160260,188080,150440,165040,156400,136080,144500,198220,152160,242100,197820,210200,283480,224440,167400,140660,160640,167860,199440,177720,194140,155220,156980,135620,138260,176120,175900,135300,137340,135840,181700,143280,142708,149240
82,157500,140600,170620,175400,139000,190260,182640,172800,168660,128040,155160,169140,161480,166500,168620,152540,181900,163040,185900,147420,153760,155940,137360,165180,134680,210000,164560,165420,166500,137840,172380,146340,173480,198720,186040,178400,196520,151720,200360,164900,157480,189160,188040,182720,162720,225280,236500,176400,206360,243480,263880,178700,160060,186220,165960,200080,195560,217000,171700,187580,168300,158540,159020,192880,202720,208780,189300,190640,182280,229720,187240,198060,144220,161160,213940,163860,151240,229520,174240,147660,158640,143980,149540,206500,156240,163020,156760,186740,192220,149120,220300,203420,160560,184580,202320,163500,164120,194280,213700,180980,214080,259080,302060,213420,179060,184060,155240,193000,194040,202240,209840,161680,173800,225960,182660,216180,197560,198660,217660,175380,183280,156496,167390
83,181540,217560,221920,198020,178080,266220,232860,203160,203860,242620,229220,253620,224140,187220,174700,217960,241080,233480,186180,215040,193980,239120,207000,170680,234060,266940,211600,197500,177340,198020,254320,222060,260460,259120,232600,243700,213240,226440,233380,198400,280780,273360,200400,235860,237700,244020,312940,226940,256480,338900,351080,333880,224720,206580,193380,252020,270080,229960,222320,233420,200580,252380,246120,303000,215820,194480,274840,224580,196120,212860,202020,240360,214940,187080,221980,193480,242840,247760,274340,240460,219500,236320,204760,277880,269620,254000,262000,223600,204880,242760,222760,248420,235240,283500,309060,271980,218580,242200,309560,277620,271180,316700,459960,329720,257140,233600,196920,263880,225040,270360,225020,270100,307380,222440,222520,263980,243820,243540,295200,301460,305760,230692,205240
84,249700,280500,321520,311980,371080,397040,386400,331240,376920,340260,391120,338800,395160,318220,358720,294840,339600,398900,338080,335760,379780,282780,319120,381540,387840,307220,400540,331500,307400,404100,375060,404240,369180,338520,355940,375040,371540,327140,323040,432100,298340,422220,423700,373300,458840,381140,452180,434000,438500,519920,531780,487540,405780,412980,321840,452600,383220,361800,423700,326120,385740,442700,337020,450520,388020,345820,411720,422280,397800,373400,380460,429400,325120,326960,399000,286760,418700,449460,389200,368040,357800,341900,391680,346760,403820,429720,365640,327680,369140,347980,372080,453460,408140,392220,398840,341340,506860,370920,558140,449620,486740,701580,682240,551020,332400,401840,352740,467040,437420,432480,413300,488160,349740,474380,432660,495280,396620,337840,349280,360840,340840,368452,327845
85,134800,104480,129960,142500,115340,134080,99840,110540,103300,131060,154660,143900,130960,123680,112480,133880,122220,164200,105360,148880,135500,126940,143380,141240,138820,136320,105900,128600,101340,137880,114340,118800,105400,162440,130940,128020,142620,146380,152840,121600,133140,123980,144580,145300,130700,161340,164980,145140,139400,163660,230600,196580,112240,144700,116720,135420,140460,197240,114280,139300,149100,163620,152680,125220,142780,123760,146700,125720,135200,161720,133280,149180,127200,155140,141400,132540,120140,143840,113100,139600,123900,150980,166380,169880,115020,120380,141520,157640,149100,139200,136640,121740,123020,180700,135080,150300,157100,192120,222880,135360,201080,241660,188720,215420,141760,145720,125480,173860,120680,149240,177960,145640,171680,162680,130760,193060,168400,177760,149700,158960,171980,132776,123065
86,382480,288140,295800,366960,351740,483440,356960,382840,294080,296500,359320,450460,372140,332200,421580,405440,311280,437080,297640,298300,352100,372240,368840,285580,281320,427820,382340,302120,355680,297840,432880,333960,332840,326120,419540,345100,386340,429600,394820,417720,381560,403640,323000,441480,476700,350120,494520,389680,352720,637200,581520,483740,310220,426840,326740,462620,339380,523880,337440,353440,336540,374980,343800,453860,410480,464360,433540,389860,399520,475420,334760,390420,411620,402260,431060,368720,307840,365320,428280,311020,426120,433400,406120,446640,415140,384300,451240,441860,392100,469340,423000,487240,499900,496380,338540,491440,517180,541480,489620,377440,477200,627360,669660,445900,355500,437660,441320,378940,387380,508920,427940,431860,441740,496080,463860,541840,407140,420000,443060,431140,382060,354500,367625
87,296480,213680,228800,324040,253400,376180,314740,262740,261920,223340,232760,344200,331680,304520,240800,273140,290220,267060,243260,236980,219600,253880,275540,230380,292100,270500,281860,251520,241900,249980,305700,330860,265100,308980,299480,280340,287680,241880,323660,293520,273500,313500,336820,251600,340140,387480,480760,322540,327040,377820,440340,334640,326860,246040,271560,290940,303920,351060,303760,353200,353120,260360,371180,351160,288040,285860,245580,274420,342700,291140,271160,315140,349920,261020,318360,289500,230480,364640,291760,273060,263400,279060,309220,256640,346620,287400,366160,333980,309620,286860,270280,274840,273300,376320,291000,374880,295460,327720,473540,366380,352560,413100,580140,388540,311180,363300,321840,311880,321080,319260,273560,304460,327100,351380,304960,371400,385040,334480,376620,278660,375180,278780,277170
88,151760,171540,154820,202360,164740,251240,196460,199800,210820,202100,170440,160300,202080,158020,185840,205640,163500,216220,207200,207740,162180,158540,223200,184520,160840,194440,178100,158300,187180,200200,198120,167900,170640,206780,197860,189960,177800,221600,194260,222160,178980,196980,222920,193120,207240,190100,309260,198500,185200,254640,291100,234100,169400,205140,148900,198280,218180,232620,232560,197300,229220,218140,210100,177840,213520,218220,226240,215160,176600,180980,173580,221100,222720,195040,217020,186440,217120,216920,206500,157200,221480,171640,219540,203900,203460,248560,170960,241280,205300,195020,171860,207760,173640,176540,212400,229780,233500,247920,266760,219540,204320,344980,274340,313140,213780,206400,206480,242700,232460,268120,173440,192860,218600,193460,258020,201100,218700,202400,184860,210600,224100,189148,178250
89,248240,280760,204720,245180,263700,272800,252580,273540,274140,288940,241300,270820,207900,302780,271340,227560,287320,235440,283460,293600,219820,253880,237460,237500,230900,222940,252940,202960,249080,242480,276140,284920,215660,262880,243920,213160,270760,307960,251840,263580,287580,330460,286120,306860,237320,316560,436960,319320,327180,394800,380860,301960,222800,212000,247340,318760,241200,287280,223080,288120,298720,292280,281900,261960,273400,321740,326700,292940,272860,345560,257240,224960,315680,291760,272760,271540,237200,358720,235200,289620,231080,308400,301600,264640,234360,340920,296560,290320,270580,297160,282380,278060,339440,309220,316020,351660,278340,334460,331060,294300,349900,486380,363020,383840,267880,305980,286300,303680,243320,314960,341980,343980,322560,347040,352120,273520,359080,331220,360440,255080,349100,256620,272250
90,234700,252840,229620,225500,278860,384900,217780,254260,225920,232300,291660,262940,244500,254040,292840,260140,318620,356060,255140,236920,315420,273060,321180,274340,211760,265100,213760,245640,238760,304240,283920,276920,252320,304900,287020,250880,248740,322140,333100,339400,270960,350720,255040,243240,271940,350500,347440,353640,370160,355640,519020,393820,263740,284460,299900,277780,284940,366040,300480,331940,274300,257520,269060,301280,243120,277300,292620,352760,323700,329540,248840,309800,322860,292320,369640,309540,290740,277560,249260,333480,296540,347100,326640,365580,304240,367000,284860,356120,292680,257060,315420,382500,369680,325900,335400,293520,363860,317020,463900,380820,331020,531100,499020,334120,257520,310300,340100,389620,274380,465320,307120,355360,370400,318400,373260,407360,312120,331640,322580,342860,308240,251464,281410
